total_bill,tip,gender,smoker,day,time,people
160.0990, 10.0010,Female,No,Sun,Dinner,2
100.0340, 10.0660,Male,No,Sun,Dinner,3
210.0010, 30.0500,Male,No,Sun,Dinner,3
230.0680, 30.0310,Male,No,Sun,Dinner,2
240.0590, 30.0610,Female,No,Sun,Dinner,4
250.0290, 40.0710,Male,No,Sun,Dinner,4
80.0770, 20.0000,Male,No,Sun,Dinner,2
260.0880, 30.0120,Male,No,Sun,Dinner,4
150.0040, 10.0960,Male,No,Sun,Dinner,2
140.0780, 30.0230,Male,No,Sun,Dinner,2
100.0270, 10.0710,Male,No,Sun,Dinner,2
350.0260, 50.0000,Female,No,Sun,Dinner,4
150.0420, 10.0570,Male,No,Sun,Dinner,2
180.0430, 30.0000,Male,No,Sun,Dinner,4
140.0830, 30.0020,Female,No,Sun,Dinner,2
210.0580, 30.0920,Male,No,Sun,Dinner,2
100.0330, 10.0670,Female,No,Sun,Dinner,3
160.0290, 30.0710,Male,No,Sun,Dinner,3
160.0970, 30.0500,Female,No,Sun,Dinner,3
200.0650, 30.0350,Male,No,Sat,Dinner,3
170.0920, 40.0080,Male,No,Sat,Dinner,2
200.0290, 20.0750,Female,No,Sat,Dinner,2
150.0770, 20.0230,Female,No,Sat,Dinner,2
390.0420, 70.0580,Male,No,Sat,Dinner,4
190.0820, 30.0180,Male,No,Sat,Dinner,2
170.0810, 20.0340,Male,No,Sat,Dinner,4
130.0370, 20.0000,Male,No,Sat,Dinner,2
120.0690, 20.0000,Male,No,Sat,Dinner,2
210.0700, 40.0300,Male,No,Sat,Dinner,2
190.0650, 30.0000,Female,No,Sat,Dinner,2
90.0550, 10.0450,Male,No,Sat,Dinner,2
180.0350, 20.0500,Male,No,Sat,Dinner,4
150.0060, 30.0000,Female,No,Sat,Dinner,2
200.0690, 20.0450,Female,No,Sat,Dinner,4
170.0780, 30.0270,Male,No,Sat,Dinner,2
240.0060, 30.0600,Male,No,Sat,Dinner,3
